feature1	feature2	r
CD11c+CD123-cDCs (% of CD3- CD45+)_Raw	CD3+CD45+_Raw	0.0587
CD11c-CD123+pDCs (% of CD3- CD45+)_Raw	CD3+CD45+_Raw	0.1319
CD3+CD4+_Raw	CD3+CD56+ NK T cells_Raw	0.0135
CD3+CD56+ NK T cells_Raw	CD4+CCR5+_Raw	0.0664
CD3+CD56+ NK T cells_Raw	CD4+CD25+_Raw	-0.0331
CD3+CD56+ NK T cells_Raw	CD4+CD40+_Raw	0.0375
CD3+CD56+ NK T cells_Raw	CD4+CD69+_Raw	-0.0447
CD3+CD56+ NK T cells_Raw	CD4+CD90+_Raw	-0.0463
CD3+CD56+ NK T cells_Raw	CD4+CD103+_Raw	0.0042
CD3+CD56+ NK T cells_Raw	CD4+CD127+_Raw	-0.0375
CD3+CD56+ NK T cells_Raw	CD4+CD161+_Raw	0.1005
CD3+CD56+ NK T cells_Raw	CD4+CTLA4+_Raw	-0.0921
CD3+CD56+ NK T cells_Raw	CD4+FoxP3+CD25+_Raw	-0.102
CD3+CD56+ NK T cells_Raw	CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	-0.1224
CD3+CD56+ NK T cells_Raw	CD4+Va7.2+CD161+_Raw	0.0151
CD3+CD56+ NK T cells_Raw	CD4+PD1+_Raw	0.0239
CD3+CD56+ NK T cells_Raw	CD4+ Central Memory_Raw	-0.1439
CD3+CD56+ NK T cells_Raw	CD4+ Effector Memory_Raw	0.1607
CD3+CD56+ NK T cells_Raw	CD4+ Effector Memory TD_Raw	0.1681
CD3+CD56+ NK T cells_Raw	CD4+ Naïve_Raw	-0.1432
CD3+CD56+ NK T cells_Raw	CD4+PD1+CXCR5+ Tfh cells_Raw	0.0092
CD3+CD56+ NK T cells_Raw	CD4+CD38+HLA-DR+_Raw	0.0259
CD3+CD56+ NK T cells_Raw	CD4+CD38+HLA-DR-_Raw	-0.2472
CD3+CD56+ NK T cells_Raw	CD4-CD8-_Raw	0.0
CD3+CD56+ NK T cells_Raw	CD4-CD8-Va7.2+CD161+ Mait cells_Raw	-0.0383
CD3+CD56+ NK T cells_Raw	CD3+CD8+_Raw	-0.03
CD3+CD56+ NK T cells_Raw	CD8+CD25+_Raw	-0.0505
CD3+CD56+ NK T cells_Raw	CD8+CD40+_Raw	0.0397
CD3+CD56+ NK T cells_Raw	CD8+CD69+_Raw	-0.0236
CD3+CD56+ NK T cells_Raw	CD8+CD90+_Raw	-0.0405
CD3+CD56+ NK T cells_Raw	CD8+CD103+_Raw	-0.0156
CD3+CD56+ NK T cells_Raw	CD8+CD127+_Raw	0.0009
CD3+CD56+ NK T cells_Raw	CD8+ Central Memory_Raw	-0.044
CD3+CD56+ NK T cells_Raw	CD8+Effector Memory_Raw	0.0075
CD3+CD56+ NK T cells_Raw	CD8+Effector Memory TD_Raw	0.2239
CD3+CD56+ NK T cells_Raw	CD8+FoxP3+CD25+_Raw	-0.0746
CD3+CD56+ NK T cells_Raw	CD8+Va7.2+CD161+_Raw	0.0044
CD3+CD56+ NK T cells_Raw	CD8+Naïve_Raw	-0.0853
CD3+CD56+ NK T cells_Raw	CD8+PD1+_Raw	0.0457
CD3+CD56+ NK T cells_Raw	CD8+PDL1+_Raw	-0.0731
CD3+CD56+ NK T cells_Raw	CD8+CD38+HLA-DR+_Raw	0.0313
CD3+CD56+ NK T cells_Raw	CD8+CD38+HLA-DR-_Raw	-0.128
B cells (% of CD3- CD45+)_Raw	CD3+CD56+ NK T cells_Raw	-0.0126
CD3+CD56+ NK T cells_Raw	NK cells (% of CD3- CD45+)_Raw	0.1282
CD14+ Monocytes (% of CD3- CD45+)_Raw	CD3+CD56+ NK T cells_Raw	0.0733
CD14+16- Classical Monocytes (% of parent)_Raw	CD3+CD56+ NK T cells_Raw	0.0734
CD14-16+ NonClassical Monocytes (% of parent)_Raw	CD3+CD56+ NK T cells_Raw	0.1377
CD14+16+ Intermediate Monocytes (% of parent)_Raw	CD3+CD56+ NK T cells_Raw	-0.0092
CD11c+CD123-cDCs (% of CD3- CD45+)_Raw	CD3+CD56+ NK T cells_Raw	-0.0162
CD11c-CD123+pDCs (% of CD3- CD45+)_Raw	CD3+CD56+ NK T cells_Raw	-0.0053
CD3+CD4+_Raw	CD4+CCR5+_Raw	-0.1055
CD3+CD4+_Raw	CD4+CD25+_Raw	-0.3963
CD3+CD4+_Raw	CD4+CD40+_Raw	0.0597
CD3+CD4+_Raw	CD4+CD69+_Raw	0.1174
CD3+CD4+_Raw	CD4+CD90+_Raw	0.0401
CD3+CD4+_Raw	CD4+CD103+_Raw	-0.0756
CD3+CD4+_Raw	CD4+CD127+_Raw	0.2852
CD3+CD4+_Raw	CD4+CD161+_Raw	-0.2038
CD3+CD4+_Raw	CD4+CTLA4+_Raw	-0.1245
CD3+CD4+_Raw	CD4+FoxP3+CD25+_Raw	-0.0742
CD3+CD4+_Raw	CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	-0.1057
CD3+CD4+_Raw	CD4+Va7.2+CD161+_Raw	-0.0156
CD3+CD4+_Raw	CD4+PD1+_Raw	-0.4613
CD3+CD4+_Raw	CD4+ Central Memory_Raw	0.1058
CD3+CD4+_Raw	CD4+ Effector Memory_Raw	0.328
CD3+CD4+_Raw	CD4+ Effector Memory TD_Raw	0.1584
CD3+CD4+_Raw	CD4+ Naïve_Raw	0.0724
