feature1	feature2	r
CD4+ Effector Memory TD_Raw	CD4+CD90+_Raw	0.0242
CD4+ Naïve_Raw	CD4+CD90+_Raw	-0.108
CD4+CD90+_Raw	CD4+PD1+CXCR5+ Tfh cells_Raw	-0.0031
CD4+CD38+HLA-DR+_Raw	CD4+CD90+_Raw	-0.0368
CD4+CD38+HLA-DR-_Raw	CD4+CD90+_Raw	-0.0174
CD4+CD90+_Raw	CD4-CD8-_Raw	0.046
CD4+CD90+_Raw	CD4-CD8-Va7.2+CD161+ Mait cells_Raw	-0.0328
CD3+CD8+_Raw	CD4+CD90+_Raw	-0.027
CD4+CD90+_Raw	CD8+CD25+_Raw	0.0138
CD4+CD90+_Raw	CD8+CD40+_Raw	0.0208
CD4+CD90+_Raw	CD8+CD69+_Raw	0.0375
CD4+CD90+_Raw	CD8+CD90+_Raw	0.0511
CD4+CD90+_Raw	CD8+CD103+_Raw	0.0378
CD4+CD90+_Raw	CD8+CD127+_Raw	-0.0583
CD4+CD90+_Raw	CD8+ Central Memory_Raw	-0.0037
CD4+CD90+_Raw	CD8+Effector Memory_Raw	0.1111
CD4+CD90+_Raw	CD8+Effector Memory TD_Raw	-0.0785
CD4+CD90+_Raw	CD8+FoxP3+CD25+_Raw	-0.024
CD4+CD90+_Raw	CD8+Va7.2+CD161+_Raw	-0.0508
CD4+CD90+_Raw	CD8+Naïve_Raw	-0.1104
CD4+CD90+_Raw	CD8+PD1+_Raw	0.0081
CD4+CD90+_Raw	CD8+PDL1+_Raw	0.0109
CD4+CD90+_Raw	CD8+CD38+HLA-DR+_Raw	-0.0258
CD4+CD90+_Raw	CD8+CD38+HLA-DR-_Raw	0.0337
B cells (% of CD3- CD45+)_Raw	CD4+CD90+_Raw	-0.0166
CD4+CD90+_Raw	NK cells (% of CD3- CD45+)_Raw	-0.046
CD14+ Monocytes (% of CD3- CD45+)_Raw	CD4+CD90+_Raw	-0.1264
CD14+16- Classical Monocytes (% of parent)_Raw	CD4+CD90+_Raw	0.0621
CD14-16+ NonClassical Monocytes (% of parent)_Raw	CD4+CD90+_Raw	-0.0617
CD14+16+ Intermediate Monocytes (% of parent)_Raw	CD4+CD90+_Raw	-0.0137
CD11c+CD123-cDCs (% of CD3- CD45+)_Raw	CD4+CD90+_Raw	0.0146
CD11c-CD123+pDCs (% of CD3- CD45+)_Raw	CD4+CD90+_Raw	0.0299
CD4+CD103+_Raw	CD4+CD127+_Raw	-0.0642
CD4+CD103+_Raw	CD4+CD161+_Raw	0.0196
CD4+CD103+_Raw	CD4+CTLA4+_Raw	0.0201
CD4+CD103+_Raw	CD4+FoxP3+CD25+_Raw	-0.0079
CD4+CD103+_Raw	CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	0.0054
CD4+CD103+_Raw	CD4+Va7.2+CD161+_Raw	0.0144
CD4+CD103+_Raw	CD4+PD1+_Raw	0.0218
CD4+ Central Memory_Raw	CD4+CD103+_Raw	-0.073
CD4+ Effector Memory_Raw	CD4+CD103+_Raw	0.0397
CD4+ Effector Memory TD_Raw	CD4+CD103+_Raw	-0.0014
CD4+ Naïve_Raw	CD4+CD103+_Raw	-0.0423
CD4+CD103+_Raw	CD4+PD1+CXCR5+ Tfh cells_Raw	-0.0226
CD4+CD103+_Raw	CD4+CD38+HLA-DR+_Raw	-0.016
CD4+CD103+_Raw	CD4+CD38+HLA-DR-_Raw	-0.0954
CD4+CD103+_Raw	CD4-CD8-_Raw	-0.0139
CD4+CD103+_Raw	CD4-CD8-Va7.2+CD161+ Mait cells_Raw	0.0522
CD3+CD8+_Raw	CD4+CD103+_Raw	-0.0066
CD4+CD103+_Raw	CD8+CD25+_Raw	-0.012
CD4+CD103+_Raw	CD8+CD40+_Raw	-0.0259
CD4+CD103+_Raw	CD8+CD69+_Raw	0.0039
CD4+CD103+_Raw	CD8+CD90+_Raw	-0.0298
CD4+CD103+_Raw	CD8+CD103+_Raw	0.0145
CD4+CD103+_Raw	CD8+CD127+_Raw	-0.0703
CD4+CD103+_Raw	CD8+ Central Memory_Raw	-0.0115
CD4+CD103+_Raw	CD8+Effector Memory_Raw	-0.0145
CD4+CD103+_Raw	CD8+Effector Memory TD_Raw	-0.0386
CD4+CD103+_Raw	CD8+FoxP3+CD25+_Raw	0.0307
CD4+CD103+_Raw	CD8+Va7.2+CD161+_Raw	0.0116
CD4+CD103+_Raw	CD8+Naïve_Raw	-0.0353
CD4+CD103+_Raw	CD8+PD1+_Raw	-0.0128
CD4+CD103+_Raw	CD8+PDL1+_Raw	0.054
CD4+CD103+_Raw	CD8+CD38+HLA-DR+_Raw	-0.0213
CD4+CD103+_Raw	CD8+CD38+HLA-DR-_Raw	-0.0362
B cells (% of CD3- CD45+)_Raw	CD4+CD103+_Raw	-0.0223
CD4+CD103+_Raw	NK cells (% of CD3- CD45+)_Raw	0.0706
CD14+ Monocytes (% of CD3- CD45+)_Raw	CD4+CD103+_Raw	-0.1005
CD14+16- Classical Monocytes (% of parent)_Raw	CD4+CD103+_Raw	-0.0695
CD14-16+ NonClassical Monocytes (% of parent)_Raw	CD4+CD103+_Raw	-0.0114
CD14+16+ Intermediate Monocytes (% of parent)_Raw	CD4+CD103+_Raw	0.0695
CD11c+CD123-cDCs (% of CD3- CD45+)_Raw	CD4+CD103+_Raw	-0.0241
CD11c-CD123+pDCs (% of CD3- CD45+)_Raw	CD4+CD103+_Raw	-0.0291
CD4+CD127+_Raw	CD4+CD161+_Raw	0.1055
CD4+CD127+_Raw	CD4+CTLA4+_Raw	-0.1117
CD4+CD127+_Raw	CD4+FoxP3+CD25+_Raw	-0.0869
CD4+CD127+_Raw	CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	-0.0795
CD4+CD127+_Raw	CD4+Va7.2+CD161+_Raw	0.0047
CD4+CD127+_Raw	CD4+PD1+_Raw	-0.1427
CD4+ Central Memory_Raw	CD4+CD127+_Raw	0.0994
CD4+ Effector Memory_Raw	CD4+CD127+_Raw	0.1258
CD4+ Effector Memory TD_Raw	CD4+CD127+_Raw	0.052
CD4+ Naïve_Raw	CD4+CD127+_Raw	0.2554
CD4+CD127+_Raw	CD4+PD1+CXCR5+ Tfh cells_Raw	-0.1372
CD4+CD127+_Raw	CD4+CD38+HLA-DR+_Raw	-0.0567
CD4+CD127+_Raw	CD4+CD38+HLA-DR-_Raw	0.1206
CD4+CD127+_Raw	CD4-CD8-_Raw	-0.1503
CD4+CD127+_Raw	CD4-CD8-Va7.2+CD161+ Mait cells_Raw	0.0409
CD3+CD8+_Raw	CD4+CD127+_Raw	-0.1515
CD4+CD127+_Raw	CD8+CD25+_Raw	-0.017
CD4+CD127+_Raw	CD8+CD40+_Raw	0.0108
CD4+CD127+_Raw	CD8+CD69+_Raw	-0.0658
CD4+CD127+_Raw	CD8+CD90+_Raw	-0.0099
CD4+CD127+_Raw	CD8+CD103+_Raw	-0.0485
CD4+CD127+_Raw	CD8+CD127+_Raw	0.2322
CD4+CD127+_Raw	CD8+ Central Memory_Raw	0.0239
CD4+CD127+_Raw	CD8+Effector Memory_Raw	0.2095
CD4+CD127+_Raw	CD8+Effector Memory TD_Raw	0.1439
CD4+CD127+_Raw	CD8+FoxP3+CD25+_Raw	-0.0623
CD4+CD127+_Raw	CD8+Va7.2+CD161+_Raw	-0.0724
CD4+CD127+_Raw	CD8+Naïve_Raw	0.2246
CD4+CD127+_Raw	CD8+PD1+_Raw	-0.0958
CD4+CD127+_Raw	CD8+PDL1+_Raw	-0.0835
CD4+CD127+_Raw	CD8+CD38+HLA-DR+_Raw	-0.2098
CD4+CD127+_Raw	CD8+CD38+HLA-DR-_Raw	-0.1337
B cells (% of CD3- CD45+)_Raw	CD4+CD127+_Raw	0.0578
CD4+CD127+_Raw	NK cells (% of CD3- CD45+)_Raw	-0.2039
CD14+ Monocytes (% of CD3- CD45+)_Raw	CD4+CD127+_Raw	0.199
CD14+16- Classical Monocytes (% of parent)_Raw	CD4+CD127+_Raw	0.1808
CD14-16+ NonClassical Monocytes (% of parent)_Raw	CD4+CD127+_Raw	0.1452
CD14+16+ Intermediate Monocytes (% of parent)_Raw	CD4+CD127+_Raw	0.0153
CD11c+CD123-cDCs (% of CD3- CD45+)_Raw	CD4+CD127+_Raw	0.0582
CD11c-CD123+pDCs (% of CD3- CD45+)_Raw	CD4+CD127+_Raw	0.069
CD4+CD161+_Raw	CD4+CTLA4+_Raw	0.0717
CD4+CD161+_Raw	CD4+FoxP3+CD25+_Raw	-0.0427
CD4+CD161+_Raw	CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	-0.0212
CD4+CD161+_Raw	CD4+Va7.2+CD161+_Raw	0.0335
CD4+CD161+_Raw	CD4+PD1+_Raw	0.363
CD4+ Central Memory_Raw	CD4+CD161+_Raw	-0.0163
CD4+ Effector Memory_Raw	CD4+CD161+_Raw	-0.0028
CD4+ Effector Memory TD_Raw	CD4+CD161+_Raw	-0.0492
CD4+ Naïve_Raw	CD4+CD161+_Raw	-0.2255
CD4+CD161+_Raw	CD4+PD1+CXCR5+ Tfh cells_Raw	0.0943
CD4+CD161+_Raw	CD4+CD38+HLA-DR+_Raw	-0.0365
CD4+CD161+_Raw	CD4+CD38+HLA-DR-_Raw	-0.3295
CD4+CD161+_Raw	CD4-CD8-_Raw	-0.2284
CD4+CD161+_Raw	CD4-CD8-Va7.2+CD161+ Mait cells_Raw	0.0134
CD3+CD8+_Raw	CD4+CD161+_Raw	0.3124
CD4+CD161+_Raw	CD8+CD25+_Raw	0.0561
CD4+CD161+_Raw	CD8+CD40+_Raw	-0.0752
CD4+CD161+_Raw	CD8+CD69+_Raw	-0.0444
CD4+CD161+_Raw	CD8+CD90+_Raw	-0.1204
CD4+CD161+_Raw	CD8+CD103+_Raw	-0.0718
CD4+CD161+_Raw	CD8+CD127+_Raw	-0.0922
CD4+CD161+_Raw	CD8+ Central Memory_Raw	0.0637
CD4+CD161+_Raw	CD8+Effector Memory_Raw	-0.1181
CD4+CD161+_Raw	CD8+Effector Memory TD_Raw	0.0063
CD4+CD161+_Raw	CD8+FoxP3+CD25+_Raw	0.0085
CD4+CD161+_Raw	CD8+Va7.2+CD161+_Raw	-0.0805
CD4+CD161+_Raw	CD8+Naïve_Raw	-0.1772
CD4+CD161+_Raw	CD8+PD1+_Raw	0.206
CD4+CD161+_Raw	CD8+PDL1+_Raw	-0.1805
CD4+CD161+_Raw	CD8+CD38+HLA-DR+_Raw	-0.0737
CD4+CD161+_Raw	CD8+CD38+HLA-DR-_Raw	-0.2135
B cells (% of CD3- CD45+)_Raw	CD4+CD161+_Raw	0.0632
CD4+CD161+_Raw	NK cells (% of CD3- CD45+)_Raw	0.1046
CD14+ Monocytes (% of CD3- CD45+)_Raw	CD4+CD161+_Raw	-0.0704
CD14+16- Classical Monocytes (% of parent)_Raw	CD4+CD161+_Raw	-0.0966
CD14-16+ NonClassical Monocytes (% of parent)_Raw	CD4+CD161+_Raw	0.2939
CD14+16+ Intermediate Monocytes (% of parent)_Raw	CD4+CD161+_Raw	-0.0048
CD11c+CD123-cDCs (% of CD3- CD45+)_Raw	CD4+CD161+_Raw	0.042
CD11c-CD123+pDCs (% of CD3- CD45+)_Raw	CD4+CD161+_Raw	0.0488
CD4+CTLA4+_Raw	CD4+FoxP3+CD25+_Raw	0.1148
CD4+CTLA4+_Raw	CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	0.0881
CD4+CTLA4+_Raw	CD4+Va7.2+CD161+_Raw	0.0376
CD4+CTLA4+_Raw	CD4+PD1+_Raw	0.1347
CD4+ Central Memory_Raw	CD4+CTLA4+_Raw	-0.0203
CD4+ Effector Memory_Raw	CD4+CTLA4+_Raw	0.0279
CD4+ Effector Memory TD_Raw	CD4+CTLA4+_Raw	-0.1065
CD4+ Naïve_Raw	CD4+CTLA4+_Raw	-0.0853
CD4+CTLA4+_Raw	CD4+PD1+CXCR5+ Tfh cells_Raw	-0.019
CD4+CD38+HLA-DR+_Raw	CD4+CTLA4+_Raw	0.0974
CD4+CD38+HLA-DR-_Raw	CD4+CTLA4+_Raw	-0.056
CD4+CTLA4+_Raw	CD4-CD8-_Raw	-0.0187
CD4+CTLA4+_Raw	CD4-CD8-Va7.2+CD161+ Mait cells_Raw	0.0049
CD3+CD8+_Raw	CD4+CTLA4+_Raw	0.059
CD4+CTLA4+_Raw	CD8+CD25+_Raw	0.098
CD4+CTLA4+_Raw	CD8+CD40+_Raw	-0.0328
CD4+CTLA4+_Raw	CD8+CD69+_Raw	0.0267
CD4+CTLA4+_Raw	CD8+CD90+_Raw	0.0331
CD4+CTLA4+_Raw	CD8+CD103+_Raw	-0.0324
CD4+CTLA4+_Raw	CD8+CD127+_Raw	-0.0269
CD4+CTLA4+_Raw	CD8+ Central Memory_Raw	0.0014
CD4+CTLA4+_Raw	CD8+Effector Memory_Raw	0.0262
CD4+CTLA4+_Raw	CD8+Effector Memory TD_Raw	-0.1381
CD4+CTLA4+_Raw	CD8+FoxP3+CD25+_Raw	0.0098
CD4+CTLA4+_Raw	CD8+Va7.2+CD161+_Raw	-0.0768
CD4+CTLA4+_Raw	CD8+Naïve_Raw	-0.1224
CD4+CTLA4+_Raw	CD8+PD1+_Raw	0.0555
CD4+CTLA4+_Raw	CD8+PDL1+_Raw	0.0181
CD4+CTLA4+_Raw	CD8+CD38+HLA-DR+_Raw	0.0207
CD4+CTLA4+_Raw	CD8+CD38+HLA-DR-_Raw	0.0113
B cells (% of CD3- CD45+)_Raw	CD4+CTLA4+_Raw	-0.0405
CD4+CTLA4+_Raw	NK cells (% of CD3- CD45+)_Raw	-0.0024
CD14+ Monocytes (% of CD3- CD45+)_Raw	CD4+CTLA4+_Raw	-0.153
CD14+16- Classical Monocytes (% of parent)_Raw	CD4+CTLA4+_Raw	-0.0853
CD14-16+ NonClassical Monocytes (% of parent)_Raw	CD4+CTLA4+_Raw	-0.0215
CD14+16+ Intermediate Monocytes (% of parent)_Raw	CD4+CTLA4+_Raw	-0.0138
CD11c+CD123-cDCs (% of CD3- CD45+)_Raw	CD4+CTLA4+_Raw	-0.0576
CD11c-CD123+pDCs (% of CD3- CD45+)_Raw	CD4+CTLA4+_Raw	-0.0669
CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	CD4+FoxP3+CD25+_Raw	0.3507
CD4+FoxP3+CD25+_Raw	CD4+Va7.2+CD161+_Raw	-0.0117
CD4+FoxP3+CD25+_Raw	CD4+PD1+_Raw	0.0712
CD4+ Central Memory_Raw	CD4+FoxP3+CD25+_Raw	0.0442
CD4+ Effector Memory_Raw	CD4+FoxP3+CD25+_Raw	0.0579
CD4+ Effector Memory TD_Raw	CD4+FoxP3+CD25+_Raw	-0.1176
CD4+ Naïve_Raw	CD4+FoxP3+CD25+_Raw	-0.0439
CD4+FoxP3+CD25+_Raw	CD4+PD1+CXCR5+ Tfh cells_Raw	-0.0433
CD4+CD38+HLA-DR+_Raw	CD4+FoxP3+CD25+_Raw	0.0118
CD4+CD38+HLA-DR-_Raw	CD4+FoxP3+CD25+_Raw	0.0086
CD4+FoxP3+CD25+_Raw	CD4-CD8-_Raw	-0.0155
CD4+FoxP3+CD25+_Raw	CD4-CD8-Va7.2+CD161+ Mait cells_Raw	-0.1133
CD3+CD8+_Raw	CD4+FoxP3+CD25+_Raw	0.0344
CD4+FoxP3+CD25+_Raw	CD8+CD25+_Raw	0.0844
CD4+FoxP3+CD25+_Raw	CD8+CD40+_Raw	-0.0513
CD4+FoxP3+CD25+_Raw	CD8+CD69+_Raw	0.0084
CD4+FoxP3+CD25+_Raw	CD8+CD90+_Raw	0.0064
CD4+FoxP3+CD25+_Raw	CD8+CD103+_Raw	0.0923
CD4+FoxP3+CD25+_Raw	CD8+CD127+_Raw	0.2269
CD4+FoxP3+CD25+_Raw	CD8+ Central Memory_Raw	0.1874
CD4+FoxP3+CD25+_Raw	CD8+Effector Memory_Raw	0.0428
CD4+FoxP3+CD25+_Raw	CD8+Effector Memory TD_Raw	-0.2048
CD4+FoxP3+CD25+_Raw	CD8+FoxP3+CD25+_Raw	0.07
CD4+FoxP3+CD25+_Raw	CD8+Va7.2+CD161+_Raw	-0.0704
CD4+FoxP3+CD25+_Raw	CD8+Naïve_Raw	-0.102
CD4+FoxP3+CD25+_Raw	CD8+PD1+_Raw	0.0075
CD4+FoxP3+CD25+_Raw	CD8+PDL1+_Raw	-0.076
CD4+FoxP3+CD25+_Raw	CD8+CD38+HLA-DR+_Raw	0.0467
CD4+FoxP3+CD25+_Raw	CD8+CD38+HLA-DR-_Raw	-0.0003
B cells (% of CD3- CD45+)_Raw	CD4+FoxP3+CD25+_Raw	0.0449
CD4+FoxP3+CD25+_Raw	NK cells (% of CD3- CD45+)_Raw	-0.1667
CD14+ Monocytes (% of CD3- CD45+)_Raw	CD4+FoxP3+CD25+_Raw	0.0359
CD14+16- Classical Monocytes (% of parent)_Raw	CD4+FoxP3+CD25+_Raw	-0.0516
CD14-16+ NonClassical Monocytes (% of parent)_Raw	CD4+FoxP3+CD25+_Raw	-0.0402
CD14+16+ Intermediate Monocytes (% of parent)_Raw	CD4+FoxP3+CD25+_Raw	0.1198
CD11c+CD123-cDCs (% of CD3- CD45+)_Raw	CD4+FoxP3+CD25+_Raw	-0.0466
CD11c-CD123+pDCs (% of CD3- CD45+)_Raw	CD4+FoxP3+CD25+_Raw	0.0051
CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	CD4+Va7.2+CD161+_Raw	0.0196
CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	CD4+PD1+_Raw	0.0677
CD4+ Central Memory_Raw	CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	0.005
CD4+ Effector Memory_Raw	CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	0.019
CD4+ Effector Memory TD_Raw	CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	-0.0862
CD4+ Naïve_Raw	CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	-0.0179
CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	CD4+PD1+CXCR5+ Tfh cells_Raw	0.0058
CD4+CD38+HLA-DR+_Raw	CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	0.0189
CD4+CD38+HLA-DR-_Raw	CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	0.0163
CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	CD4-CD8-_Raw	-0.0432
CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	CD4-CD8-Va7.2+CD161+ Mait cells_Raw	-0.086
CD3+CD8+_Raw	CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	0.0401
CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	CD8+CD25+_Raw	0.0703
CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	CD8+CD40+_Raw	-0.0394
CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	CD8+CD69+_Raw	0.029
CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	CD8+CD90+_Raw	-0.0009
CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	CD8+CD103+_Raw	0.0537
CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	CD8+CD127+_Raw	0.19
CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	CD8+ Central Memory_Raw	0.1394
CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	CD8+Effector Memory_Raw	0.0718
CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	CD8+Effector Memory TD_Raw	-0.2111
CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	CD8+FoxP3+CD25+_Raw	0.0637
CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	CD8+Va7.2+CD161+_Raw	-0.0895
CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	CD8+Naïve_Raw	-0.0393
CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	CD8+PD1+_Raw	0.0398
CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	CD8+PDL1+_Raw	-0.0809
CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	CD8+CD38+HLA-DR+_Raw	0.0095
CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	CD8+CD38+HLA-DR-_Raw	0.0092
B cells (% of CD3- CD45+)_Raw	CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	0.0819
CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	NK cells (% of CD3- CD45+)_Raw	-0.1759
CD14+ Monocytes (% of CD3- CD45+)_Raw	CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	0.039
CD14+16- Classical Monocytes (% of parent)_Raw	CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	-0.0954
CD14-16+ NonClassical Monocytes (% of parent)_Raw	CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	-0.0216
CD14+16+ Intermediate Monocytes (% of parent)_Raw	CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	0.1058
CD11c+CD123-cDCs (% of CD3- CD45+)_Raw	CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	-0.1162
CD11c-CD123+pDCs (% of CD3- CD45+)_Raw	CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	-0.0006
CD4+PD1+_Raw	CD4+Va7.2+CD161+_Raw	-0.0207
CD4+ Central Memory_Raw	CD4+Va7.2+CD161+_Raw	0.0162
CD4+ Effector Memory_Raw	CD4+Va7.2+CD161+_Raw	0.045
CD4+ Effector Memory TD_Raw	CD4+Va7.2+CD161+_Raw	0.0084
CD4+ Naïve_Raw	CD4+Va7.2+CD161+_Raw	-0.0061
CD4+PD1+CXCR5+ Tfh cells_Raw	CD4+Va7.2+CD161+_Raw	-0.0278
CD4+CD38+HLA-DR+_Raw	CD4+Va7.2+CD161+_Raw	-0.0104
CD4+CD38+HLA-DR-_Raw	CD4+Va7.2+CD161+_Raw	-0.0013
CD4+Va7.2+CD161+_Raw	CD4-CD8-_Raw	0.0161
CD4+Va7.2+CD161+_Raw	CD4-CD8-Va7.2+CD161+ Mait cells_Raw	-0.023
CD3+CD8+_Raw	CD4+Va7.2+CD161+_Raw	-0.0011
CD4+Va7.2+CD161+_Raw	CD8+CD25+_Raw	0.0102
CD4+Va7.2+CD161+_Raw	CD8+CD40+_Raw	-0.0026
CD4+Va7.2+CD161+_Raw	CD8+CD69+_Raw	0.0117
CD4+Va7.2+CD161+_Raw	CD8+CD90+_Raw	-0.0092
CD4+Va7.2+CD161+_Raw	CD8+CD103+_Raw	0.0233
CD4+Va7.2+CD161+_Raw	CD8+CD127+_Raw	-0.0131
CD4+Va7.2+CD161+_Raw	CD8+ Central Memory_Raw	0.0185
CD4+Va7.2+CD161+_Raw	CD8+Effector Memory_Raw	0.0757
CD4+Va7.2+CD161+_Raw	CD8+Effector Memory TD_Raw	-0.0174
CD4+Va7.2+CD161+_Raw	CD8+FoxP3+CD25+_Raw	0.0032
CD4+Va7.2+CD161+_Raw	CD8+Va7.2+CD161+_Raw	0.0154
CD4+Va7.2+CD161+_Raw	CD8+Naïve_Raw	-0.0266
CD4+Va7.2+CD161+_Raw	CD8+PD1+_Raw	-0.0138
CD4+Va7.2+CD161+_Raw	CD8+PDL1+_Raw	0.0294
CD4+Va7.2+CD161+_Raw	CD8+CD38+HLA-DR+_Raw	-0.0209
CD4+Va7.2+CD161+_Raw	CD8+CD38+HLA-DR-_Raw	0.0304
B cells (% of CD3- CD45+)_Raw	CD4+Va7.2+CD161+_Raw	-0.014
CD4+Va7.2+CD161+_Raw	NK cells (% of CD3- CD45+)_Raw	-0.053
CD14+ Monocytes (% of CD3- CD45+)_Raw	CD4+Va7.2+CD161+_Raw	-0.0607
CD14+16- Classical Monocytes (% of parent)_Raw	CD4+Va7.2+CD161+_Raw	0.0193
CD14-16+ NonClassical Monocytes (% of parent)_Raw	CD4+Va7.2+CD161+_Raw	-0.0378
CD14+16+ Intermediate Monocytes (% of parent)_Raw	CD4+Va7.2+CD161+_Raw	0.0151
CD11c+CD123-cDCs (% of CD3- CD45+)_Raw	CD4+Va7.2+CD161+_Raw	-0.0207
CD11c-CD123+pDCs (% of CD3- CD45+)_Raw	CD4+Va7.2+CD161+_Raw	-0.0076
CD4+ Central Memory_Raw	CD4+PD1+_Raw	0.1265
CD4+ Effector Memory_Raw	CD4+PD1+_Raw	-0.0826
CD4+ Effector Memory TD_Raw	CD4+PD1+_Raw	-0.1017
CD4+ Naïve_Raw	CD4+PD1+_Raw	-0.2135
CD4+PD1+CXCR5+ Tfh cells_Raw	CD4+PD1+_Raw	0.0578
CD4+CD38+HLA-DR+_Raw	CD4+PD1+_Raw	0.0762
CD4+CD38+HLA-DR-_Raw	CD4+PD1+_Raw	-0.2024
CD4+PD1+_Raw	CD4-CD8-_Raw	-0.0408
CD4+PD1+_Raw	CD4-CD8-Va7.2+CD161+ Mait cells_Raw	-0.056
CD3+CD8+_Raw	CD4+PD1+_Raw	0.3001
CD4+PD1+_Raw	CD8+CD25+_Raw	0.2011
CD4+PD1+_Raw	CD8+CD40+_Raw	-0.0699
CD4+PD1+_Raw	CD8+CD69+_Raw	-0.0745
CD4+PD1+_Raw	CD8+CD90+_Raw	-0.0664
CD4+PD1+_Raw	CD8+CD103+_Raw	-0.1207
CD4+PD1+_Raw	CD8+CD127+_Raw	0.0412
CD4+PD1+_Raw	CD8+ Central Memory_Raw	0.2317
CD4+PD1+_Raw	CD8+Effector Memory_Raw	-0.1778
CD4+PD1+_Raw	CD8+Effector Memory TD_Raw	-0.1818
CD4+PD1+_Raw	CD8+FoxP3+CD25+_Raw	-0.0072
CD4+PD1+_Raw	CD8+Va7.2+CD161+_Raw	-0.0879
CD4+PD1+_Raw	CD8+Naïve_Raw	-0.2321
CD4+PD1+_Raw	CD8+PD1+_Raw	0.4909
CD4+PD1+_Raw	CD8+PDL1+_Raw	-0.1714
CD4+PD1+_Raw	CD8+CD38+HLA-DR+_Raw	0.1113
CD4+PD1+_Raw	CD8+CD38+HLA-DR-_Raw	-0.0448
B cells (% of CD3- CD45+)_Raw	CD4+PD1+_Raw	-0.0591
CD4+PD1+_Raw	NK cells (% of CD3- CD45+)_Raw	0.0777
CD14+ Monocytes (% of CD3- CD45+)_Raw	CD4+PD1+_Raw	0.1808
CD14+16- Classical Monocytes (% of parent)_Raw	CD4+PD1+_Raw	-0.253
CD14-16+ NonClassical Monocytes (% of parent)_Raw	CD4+PD1+_Raw	0.1811
CD14+16+ Intermediate Monocytes (% of parent)_Raw	CD4+PD1+_Raw	-0.1227
CD11c+CD123-cDCs (% of CD3- CD45+)_Raw	CD4+PD1+_Raw	-0.0095
CD11c-CD123+pDCs (% of CD3- CD45+)_Raw	CD4+PD1+_Raw	-0.0099
CD4+ Central Memory_Raw	CD4+ Effector Memory_Raw	0.0921
CD4+ Central Memory_Raw	CD4+ Effector Memory TD_Raw	-0.223
CD4+ Central Memory_Raw	CD4+ Naïve_Raw	-0.1452
CD4+ Central Memory_Raw	CD4+PD1+CXCR5+ Tfh cells_Raw	-0.0386
CD4+ Central Memory_Raw	CD4+CD38+HLA-DR+_Raw	0.0094
CD4+ Central Memory_Raw	CD4+CD38+HLA-DR-_Raw	0.0422
CD4+ Central Memory_Raw	CD4-CD8-_Raw	0.0348
CD4+ Central Memory_Raw	CD4-CD8-Va7.2+CD161+ Mait cells_Raw	-0.1865
