,02d06,Alistipes,Anaerococcus,Anaerofilum,Anaerovibrio,Bacteroides,Bilophila,Blautia,Butyricicoccus,Butyricimonas,CF231,Campylobacter,Clostridium,Collinsella,Coprococcus,Corynebacterium,Desulfovibrio,Dialister,Dorea,Faecalibacterium,Finegoldia,Lachnospira,Lactococcus,Megasphaera,Mogibacterium,Oscillospira,Parabacteroides,Paraprevotella,Peptoniphilus,Phascolarctobacterium,Prevotella,Roseburia,Ruminococcus,SMB53,Saccharopolyspora,Sarcina,Slackia,Streptococcus,Succinivibrio,Sutterella,Turicibacter,WAL_1855D,[Eubacterium],[Prevotella],[Ruminococcus],NA,Anaerofustis,Bifidobacterium,Catenibacterium,Dehalobacterium,Gemmiger,Mitsuokella,Shuttleworthia,Veillonella,Victivallis,Aggregatibacter,Lactobacillus,Selenomonas,[Clostridium],Acidaminococcus,Butyrivibrio,Fusobacterium,Methanosphaera,Odoribacter,Rothia,Peptococcus,Shigella,Actinomyces,Christensenella,Methanobrevibacter,Oxalobacter,Succinispira,cc_115,Akkermansia,Brachyspira,Helicobacter,Anaerostipes,Lachnobacterium,Enterococcus,rc4-4,Barnesiella,Weissella,Anaerorhabdus,Holdemania,Porphyromonas,Succiniclasticum,Serratia,Alloscardovia,Bulleidia,Leptotrichia,Oribacterium,p-75-a5,Flexispira,Pseudobutyrivibrio,RFN20,Haemophilus,Herbaspirillum,Atopobium,Adlercreutzia,Anaerotruncus,Coprobacillus,Gardnerella,Ralstonia,Eggerthella,Pseudomonas,Jan-68,Gallicola,Peptostreptococcus,ph2,Candidatus Arthromitus,Staphylococcus,Lactonifactor,Subdoligranulum,Pseudoramibacter_Eubacterium,Epulopiscium,Pediococcus,Haloferula,Varibaculum,Synergistes,Cloacibacillus,Defluviitalea,Macellibacteroides,Sneathia,Parvimonas,Mobiluncus,Mycoplasma,Sporobacter,Sharpea,Actinobacillus,vadinCA11,AF12,Anaeroplasma,Gemella,Lachnoanaerobaculum,Moryella,Leuconostoc,Megamonas,Pyramidobacter,Granulicatella,Geobacillus,Lautropia,Aerococcus,Morganella,Ureaplasma,Scardovia,Proteus,Actinobaculum,Streptobacillus,Blvii28,Neisseria,Abiotrophia,Methanomassiliicoccus,Sporanaerobacter,Arcanobacterium,Brevibacterium,GW-34,Nesterenkonia,Acinetobacter,Marvinbryantia,Bacillus,YRC22,Asteroleplasma
DM004-2,16,205,NA,NA,NA,428,NA,209,NA,9,NA,NA,152,10,498,NA,31,NA,24,662,NA,171,2,NA,3,73,519,40,NA,67,5669,297,364,NA,NA,NA,NA,36,NA,175,5,NA,34,711,20,1867,NA,NA,457,NA,39,29,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,43,NA,6,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,7,27,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM004-3,26,136,NA,NA,NA,489,2,192,NA,7,NA,2,116,NA,870,NA,23,NA,48,688,NA,227,NA,NA,NA,111,261,51,NA,45,5120,160,694,NA,NA,NA,NA,19,NA,153,NA,NA,12,476,9,2434,NA,NA,356,NA,37,31,NA,2,13,NA,NA,NA,NA,NA,NA,NA,NA,35,3,1,NA,3,NA,13,11,NA,NA,23,NA,NA,6,NA,NA,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM005-1,2,NA,NA,NA,NA,1517,4,756,NA,NA,NA,NA,320,NA,461,NA,NA,116,37,1022,NA,16,NA,NA,NA,84,258,50,NA,NA,4174,169,1,NA,NA,NA,NA,6,NA,1582,NA,NA,21,2,141,1622,NA,64,NA,NA,428,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,7,NA,NA,NA,NA,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM005-2,NA,NA,NA,NA,NA,928,NA,540,NA,NA,NA,NA,132,NA,425,NA,NA,325,23,927,NA,251,NA,NA,NA,37,202,125,NA,NA,6319,918,2,NA,NA,NA,NA,9,NA,117,NA,NA,NA,3,6,1230,NA,89,NA,NA,228,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,54,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM005-3,NA,2,NA,NA,NA,1787,NA,678,NA,NA,NA,NA,360,NA,772,NA,NA,6,53,956,NA,188,NA,NA,NA,23,234,121,NA,NA,4242,329,8,NA,NA,NA,NA,4,NA,784,NA,NA,1,NA,119,1699,NA,89,NA,NA,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM007-1,NA,NA,NA,NA,333,100,NA,477,NA,7,NA,NA,96,4,136,NA,12,3,64,740,NA,48,NA,138,4,57,16,14,NA,217,5873,183,46,NA,NA,NA,3,136,93,171,NA,NA,438,1352,47,960,NA,NA,985,NA,17,26,NA,23,NA,NA,2,NA,NA,6,4,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,34,2,17,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM007-2,NA,5,NA,NA,153,137,NA,219,NA,6,NA,44,24,4,210,NA,28,36,61,903,1,126,NA,78,9,114,52,24,NA,124,4930,324,76,NA,NA,NA,NA,75,68,162,NA,NA,134,909,82,3161,NA,NA,439,NA,37,4,NA,6,NA,NA,NA,NA,NA,4,7,NA,NA,2,1,7,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,55,7,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM007-3,NA,4,NA,NA,160,1449,NA,207,6,50,NA,7,68,4,279,NA,29,54,80,512,NA,131,1,122,6,207,128,9,NA,59,2771,438,104,NA,NA,NA,3,29,1664,174,NA,NA,129,358,62,2458,NA,5,653,NA,38,26,NA,2,NA,NA,NA,NA,NA,NA,11,125,NA,NA,NA,7,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,38,NA,NA,11,13,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM008-1,NA,5,NA,NA,194,1172,NA,291,NA,67,NA,9,75,23,395,NA,37,101,75,563,NA,134,2,176,16,264,105,1,NA,94,2418,449,159,NA,NA,NA,7,62,1216,181,5,1,272,295,52,2366,1,16,999,NA,34,41,NA,2,NA,NA,NA,NA,NA,8,27,110,NA,NA,NA,17,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,72,2,NA,5,6,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM008-2,NA,3,NA,NA,NA,6228,NA,593,NA,281,NA,NA,112,22,6,NA,221,47,35,NA,2,NA,2,NA,NA,109,758,NA,3,NA,4,208,68,NA,NA,NA,2,1,NA,573,21,NA,19,1,73,2637,NA,187,NA,NA,175,NA,NA,3,NA,13,NA,NA,NA,NA,NA,508,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM008-3,NA,4,2,NA,NA,5733,NA,1164,NA,291,NA,NA,272,58,26,NA,556,82,66,NA,5,NA,2,NA,NA,115,824,NA,4,NA,18,460,149,1,NA,NA,3,13,NA,315,18,NA,99,NA,247,1002,1,486,NA,NA,675,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,208,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,3,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM009-1,NA,NA,NA,NA,72,149,141,1201,1,NA,NA,NA,59,152,841,NA,NA,15,397,NA,NA,28,NA,313,115,85,22,90,NA,131,1043,481,75,NA,NA,NA,13,136,NA,11,NA,NA,1150,3440,238,2344,5,3,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,131,NA,NA,NA,NA,4,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM009-2,NA,2,64,NA,90,562,110,988,25,NA,NA,1,54,248,741,14,2,34,295,NA,211,17,12,774,112,53,163,146,108,323,2585,617,364,NA,NA,NA,3,46,NA,47,4,2,361,1088,134,2195,NA,14,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,243,NA,7,NA,12,10,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2,NA,2,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM009-3,NA,NA,1,NA,380,246,59,688,NA,NA,NA,1,51,67,438,NA,NA,27,200,NA,5,54,3,120,49,103,129,234,NA,291,5049,994,168,NA,NA,NA,3,82,NA,256,2,NA,408,1224,45,1408,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,100,NA,1,NA,4,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM010-1,4,7,NA,NA,193,192,17,250,10,28,NA,NA,41,29,521,NA,141,238,63,607,NA,151,NA,200,31,264,51,83,NA,111,3438,598,244,NA,NA,NA,2,NA,902,158,NA,NA,279,694,115,2167,NA,92,670,1,19,112,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,47,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM010-2,NA,NA,NA,NA,6,3246,63,320,NA,37,NA,NA,56,11,50,NA,48,NA,20,1996,1,NA,NA,2,55,105,344,23,NA,266,2684,8,10,NA,NA,NA,3,8,753,114,NA,NA,44,906,49,1542,NA,3,103,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,9,NA,22,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,6,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM010-3,NA,6,NA,NA,353,86,22,367,17,9,NA,NA,22,16,207,NA,84,7,65,348,NA,26,NA,27,65,89,139,7,NA,169,5859,344,168,NA,NA,NA,2,145,106,222,NA,NA,119,1243,138,1582,NA,22,644,NA,95,NA,NA,1,NA,NA,NA,NA,NA,30,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,39,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM011-1,35,NA,NA,NA,98,97,7,730,NA,2,19,32,95,77,498,NA,38,7,206,221,NA,27,NA,2,99,806,14,NA,NA,68,1444,149,1180,NA,NA,NA,4,NA,222,NA,NA,NA,371,13,99,3938,NA,NA,2018,NA,119,NA,58,NA,1,NA,NA,NA,NA,17,NA,40,NA,NA,NA,NA,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,35,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM011-2,116,4,NA,3,NA,79,105,910,43,2,119,6,241,17,1292,NA,84,10,271,419,NA,11,NA,NA,108,228,8,28,NA,114,360,73,1283,NA,NA,NA,2,1,80,8,NA,NA,593,23,35,4216,NA,NA,1832,NA,124,NA,1,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM011-3,29,NA,NA,2,NA,408,24,495,26,4,17,17,31,18,392,NA,128,13,218,685,NA,35,4,NA,46,113,28,135,NA,232,2453,167,1077,NA,NA,NA,1,43,381,19,NA,NA,755,167,171,2908,NA,NA,1398,NA,143,NA,21,1,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,2,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM013-1,NA,255,NA,NA,1,604,3,1408,74,NA,NA,NA,288,43,1534,NA,NA,NA,128,1906,NA,11,NA,NA,NA,231,129,24,NA,184,68,312,966,33,NA,NA,NA,131,3,NA,14,4,3,NA,149,1995,NA,43,1980,NA,341,NA,8,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM013-2,NA,357,NA,NA,NA,1019,5,1265,40,NA,NA,NA,311,54,1078,NA,NA,NA,85,1341,NA,24,2,NA,NA,101,285,247,NA,166,685,739,631,NA,NA,NA,NA,7,NA,7,NA,NA,3,NA,233,1708,NA,74,2056,NA,303,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,35,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,6,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM013-3,NA,258,1,NA,NA,1169,8,1211,45,NA,NA,NA,273,60,1433,NA,NA,NA,139,1241,3,4,NA,2,NA,36,476,206,NA,125,845,280,28,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,205,1542,NA,842,2211,NA,112,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM014-1,NA,229,5,NA,NA,5460,NA,613,NA,NA,NA,NA,176,248,414,NA,NA,443,224,233,1,11,9,NA,NA,185,498,NA,NA,NA,11,315,1133,14,NA,NA,NA,19,NA,661,12,NA,23,NA,121,1277,1,532,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,5,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM014-2,NA,281,NA,NA,NA,2703,NA,865,NA,NA,NA,NA,315,179,572,NA,NA,925,221,400,NA,30,NA,NA,NA,200,192,NA,NA,NA,3,637,2384,21,NA,NA,NA,43,NA,179,7,NA,16,NA,74,1492,5,1144,NA,NA,NA,NA,6,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM014-3,4,25,NA,NA,8,2599,NA,639,NA,NA,NA,NA,322,208,469,NA,NA,1191,106,506,NA,49,2,NA,NA,16,128,NA,NA,NA,12,1516,521,41,NA,NA,NA,20,2,371,7,NA,24,NA,165,3133,NA,757,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,4,1,NA,7,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM015-1,NA,699,NA,NA,NA,4163,121,739,NA,88,NA,2,142,21,459,NA,121,75,52,1169,NA,130,3,NA,NA,163,530,174,NA,42,11,717,896,5,NA,NA,NA,41,NA,116,3,6,3,3,11,1340,NA,270,NA,NA,84,NA,NA,7,NA,NA,NA,NA,NA,9,NA,NA,NA,22,NA,NA,NA,1,NA,NA,NA,NA,1,449,NA,NA,17,NA,NA,NA,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM015-2,NA,713,NA,2,NA,2436,17,677,NA,104,NA,NA,212,40,607,NA,112,98,27,1599,NA,74,NA,NA,NA,106,710,580,NA,11,4,801,482,NA,NA,NA,NA,22,2,130,NA,1,3,NA,22,2393,NA,409,NA,NA,228,NA,NA,7,NA,NA,NA,NA,NA,1,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,232,NA,NA,11,21,NA,NA,2,NA,NA,5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
